Day,Hour,Volum_SK,Volum_KO,Volum_BG,Volum_BV
17,6,235,101,108,249
17,7,837,443,616,1160
17,8,734,605,767,961
17,9,527,335,429,684
17,10,537,294,411,658
17,11,612,312,421,736
17,12,606,362,466,807
17,13,768,475,600,990
17,14,776,515,726,1064
17,15,989,700,1003,1419
17,16,900,659,957,1165
17,17,579,490,605,776
17,18,504,412,511,768
17,19,455,384,410,662
17,20,378,258,372,564
17,21,315,199,270,386
17,22,227,134,172,268
17,23,94,76,50,114
18,0,53,31,32,53
18,1,26,9,12,19
18,2,11,5,14,12
18,3,25,9,7,11
18,4,23,5,8,15
18,5,64,39,28,43
18,6,234,92,111,251
18,7,818,443,602,1148
18,8,694,594,747,849
18,9,517,332,354,642
18,10,554,308,379,692
18,11,624,372,470,777
18,12,631,376,465,818
18,13,775,454,557,952
18,14,754,527,789,1063
18,15,968,703,955,1334
18,16,837,616,846,1119
18,17,575,489,582,862
18,18,476,449,488,781
18,19,439,369,481,681
18,20,370,275,361,529
18,21,310,220,311,348
18,22,203,122,196,281
18,23,130,69,80,121
19,0,45,21,22,52
19,1,26,11,9,15
19,2,16,2,6,12
19,3,18,2,6,14
19,4,14,5,5,11
19,5,52,39,23,45
19,6,234,106,100,272
19,7,827,433,586,1136
19,8,681,676,803,897
19,9,500,339,343,630
19,10,505,306,382,741
19,11,621,383,470,802
19,12,635,388,492,790
19,13,728,423,585,1057
19,14,768,505,635,1025
19,15,984,687,962,1397
19,16,873,688,961,1252
19,17,582,454,543,856
19,18,493,413,535,745
19,19,401,355,418,590
19,20,352,249,325,500
19,21,249,192,249,331
19,22,204,143,189,288
19,23,107,63,71,113
20,0,47,24,25,43
20,1,21,11,16,21
20,2,17,11,7,21
20,3,27,6,6,14
20,4,32,10,8,20
20,5,59,41,24,47
20,6,232,97,106,223
20,7,784,421,555,1088
20,8,629,567,755,946
20,9,459,343,403,610
20,10,495,306,343,651
20,11,563,316,392,737
20,12,618,367,402,776
20,13,683,462,592,925
20,14,741,504,684,1012
20,15,965,631,929,1318
20,16,867,670,865,1234
20,17,568,417,577,878
20,18,518,421,566,743
20,19,421,371,450,692
20,20,370,288,333,566
20,21,265,199,263,365
20,22,179,114,175,291
20,23,118,73,93,128
21,0,60,26,34,56
21,1,39,13,22,26
21,2,23,8,11,19
21,3,23,8,14,15
21,4,17,15,5,17
21,5,60,45,24,54
21,6,217,97,106,253
21,7,780,391,523,1026
21,8,645,548,731,827
21,9,495,288,377,668
21,10,560,270,359,682
21,11,641,372,457,797
21,12,681,346,553,949
21,13,833,491,680,1068
21,14,825,566,782,1280
21,15,1004,695,970,1462
21,16,1000,609,865,1367
21,17,602,391,556,950
21,18,518,315,477,698
21,19,381,255,355,636
21,20,348,174,259,515
21,21,236,160,220,371
21,22,232,130,178,288
21,23,185,131,144,242
22,0,134,93,89,173
22,1,122,57,59,81
22,2,61,21,26,58
22,3,47,9,19,30
22,4,23,13,8,13
22,5,24,15,9,16
22,6,53,19,25,70
22,7,127,61,68,179
22,8,124,80,82,126
22,9,207,96,157,284
22,10,366,178,249,471
22,11,482,243,382,622
22,12,666,343,510,827
22,13,767,372,615,1010
22,14,837,469,656,1121
22,15,810,420,716,1139
22,16,738,383,640,990
22,17,548,311,507,851
22,18,551,327,499,746
22,19,418,219,320,485
22,20,289,165,267,411
22,21,271,135,215,292
22,22,204,145,171,271
22,23,221,131,144,279
23,0,176,108,129,169
23,1,132,87,87,150
23,2,110,58,59,115
23,3,107,29,51,75
23,4,50,18,25,47
23,5,13,9,11,26
23,6,19,12,19,46
23,7,79,35,54,129
23,8,83,35,56,75
23,9,107,51,69,123
23,10,176,97,127,204
23,11,257,161,193,313
23,12,384,233,356,454
23,13,521,317,397,604
23,14,643,368,527,629
23,15,559,382,562,732
23,16,590,338,512,659
23,17,447,318,408,573
23,18,382,280,412,573
23,19,416,279,384,543
23,20,283,209,290,469
23,21,212,154,218,324
23,22,161,102,153,253
23,23,101,56,61,147
24,0,32,29,29,42
24,1,25,12,9,24
24,2,10,4,1,8
24,3,17,9,4,10
24,4,15,5,11,16
24,5,74,53,31,52
24,6,261,92,108,269
24,7,823,469,652,1168
24,8,678,619,796,891
24,9,542,361,406,685
24,10,571,309,444,722
24,11,643,400,500,840
24,12,667,388,515,799
24,13,771,529,650,984
24,14,748,584,820,1068
24,15,960,751,1057,1421
24,16,865,647,971,1180
24,17,659,511,588,841
24,18,535,423,525,746
24,19,421,380,467,609
24,20,398,269,334,610
24,21,291,190,279,437
24,22,216,118,166,266
24,23,114,66,71,135
25,0,62,27,25,57
25,1,32,16,9,25
25,2,13,5,7,16
25,3,18,5,6,13
25,4,22,8,9,15
25,5,61,41,24,47
25,6,255,103,98,269
25,7,832,474,629,1158
25,8,684,605,752,854
25,9,547,332,418,661
25,10,591,364,447,748
25,11,651,405,489,825
25,12,693,392,580,835
25,13,761,528,629,934
25,14,861,582,756,1093
25,15,975,825,1115,1370
25,16,908,615,893,1239
25,17,568,459,585,812
25,18,535,458,542,776
25,19,444,375,490,727
25,20,378,333,396,564
25,21,260,203,260,396
25,22,197,131,182,273
25,23,126,66,64,135
26,0,45,21,17,39
26,1,22,6,4,15
26,2,17,3,5,9
26,3,17,5,7,15
26,4,24,6,6,12
26,5,58,41,18,52
26,6,272,103,109,273
26,7,856,487,603,1178
26,8,657,647,794,902
26,9,508,347,397,661
26,10,537,323,403,705
26,11,677,379,472,908
26,12,649,423,501,922
26,13,718,460,583,1001
26,14,743,591,717,1045
26,15,965,731,991,1521
26,16,930,617,898,1269
26,17,622,505,592,832
26,18,552,427,522,793
26,19,427,384,430,726
26,20,393,301,401,608
26,21,293,206,271,369
26,22,197,112,167,253
26,23,90,67,70,127
27,0,48,25,24,44
27,1,29,10,5,15
27,2,7,5,8,10
27,3,16,8,9,11
27,4,19,9,4,16
27,5,64,39,21,49
27,6,236,97,106,266
27,7,795,473,605,1155
27,8,664,598,763,907
27,9,543,366,386,700
27,10,583,347,378,680
27,11,621,388,460,780
27,12,697,408,469,875
27,13,765,494,632,974
27,14,821,569,859,1169
27,15,960,720,1029,1467
27,16,876,725,955,1231
27,17,642,419,618,889
27,18,558,435,552,781
27,19,460,389,457,694
27,20,365,268,328,559
27,21,264,199,319,435
27,22,217,137,199,271
27,23,131,78,81,148
28,0,60,37,28,58
28,1,29,12,8,23
28,2,16,8,9,18
28,3,13,5,7,6
28,4,27,8,6,12
28,5,61,42,25,54
28,6,259,98,104,265
28,7,795,411,541,1042
28,8,644,580,745,834
28,9,511,316,406,637
28,10,593,325,439,765
28,11,645,413,545,847
28,12,736,421,572,949
28,13,823,491,685,1091
28,14,900,629,845,1321
28,15,996,690,1052,1488
28,16,971,611,854,1299
28,17,646,364,607,906
28,18,527,338,471,735
28,19,429,275,354,634
28,20,309,195,271,488
28,21,263,147,221,324
28,22,226,122,169,262
28,23,189,114,132,242
29,0,145,73,72,116
29,1,88,50,58,82
29,2,57,18,28,48
29,3,34,18,20,23
29,4,29,3,7,19
29,5,34,7,9,14
29,6,75,23,23,85
29,7,133,45,73,173
29,8,113,59,87,126
29,9,209,87,153,307
29,10,370,147,268,473
29,11,515,259,426,726
29,12,657,308,529,850
29,13,709,380,530,957
29,14,887,435,663,1102
29,15,759,434,682,1062
29,16,710,367,582,980
29,17,570,336,607,874
29,18,518,296,492,707
29,19,327,247,370,501
29,20,275,182,280,343
29,21,241,128,189,256
29,22,205,133,166,283
29,23,193,123,163,230
30,0,204,101,111,178
30,1,99,79,100,121
30,2,60,58,50,82
30,3,78,40,52,58
30,4,40,21,28,43
30,5,47,13,12,28
30,6,46,10,24,46
30,7,98,31,42,135
30,8,61,36,40,75
30,9,113,75,63,130
30,10,210,100,145,206
30,11,285,164,207,300
30,12,428,235,366,478
30,13,526,365,475,538
30,14,634,369,567,732
30,15,602,347,503,683
30,16,516,294,434,595
30,17,525,297,431,650
30,18,398,246,449,559
30,19,340,209,381,523
